Name;Full Price;Current Price;Quantity;Category;Subcategory
Rummo Spaghetti Grossi;1,59;0,94;500 g;Pasta e Riso;Pasta di semola lunga
Barilla - Fusilli, n.98;1,25;0,45;500 g;Pasta e Riso;Pasta di semola lunga
Barilla - Mezze Maniche Rigate,;1,35;0,45;400 g;Pasta e Riso;Pasta di semola lunga
Barilla - Bucatini n.9,;1,25;0,45;500 g;Pasta e Riso;Pasta di semola lunga
Rummo Le Leggendarie Mezzi Paccheri Rigati N° 152;1,89;1,29;500 g;Pasta e Riso;Pasta di semola lunga
Rummo Le Leggendarie Fusillotti N° 155;1,89;1,29;500 g;Pasta e Riso;Pasta di semola lunga
Rummo Spaghettoni Grossi N° 220;1,59;0,79;500 g;Pasta e Riso;Pasta di semola lunga
Rummo, Fusilli n. 48 pasta di semola di grano duro;1,69;1,59;500 g;Pasta e Riso;Pasta di semola lunga
Rummo, Conchiglie Rigate n. 42 pasta di semola di...;1,59;0,79;500 g;Pasta e Riso;Pasta di semola lunga
Garofalo - Penne Zite Rigate, Pasta di Semola di G...;1,59;0,89;500 g;Pasta e Riso;Pasta di semola lunga
Bio Farro Integrale Spaghettoni Quadrati N°413;2,99;2,19;500 g;Pasta e Riso;Pasta di semola lunga
5 Cereali Spaghetti;1,29;1,09;400 g;Pasta e Riso;Pasta di semola lunga
Vermicelli;0,77;0,39;500 g;Pasta e Riso;Pasta di semola lunga
Vermicelli 119 Pasta Di Gragnano I.g.p.;0,99;0,70;500 g;Pasta e Riso;Pasta di semola lunga
Spaghetti Alla Chitarra 117 Pasta Di Gragnano I.g....;0,99;0,70;500 g;Pasta e Riso;Pasta di semola lunga
Spaghetti 118 Pasta Di Gragnano I.g.p.;0,99;0,70;500 g;Pasta e Riso;Pasta di semola lunga
Linguine 121 Pasta Di Gragnano I.g.p.;0,74;0,70;500 g;Pasta e Riso;Pasta di semola lunga
Fusilli Lunghi Bucati Pasta Di Gragnano I.g.p.;1,85;1,39;500 g;Pasta e Riso;Pasta di semola lunga
Vermicelli 2;0,47;0,39;500 g;Pasta e Riso;Pasta di semola lunga
Spaghetti Grossi 5;0,47;0,39;500 g;Pasta e Riso;Pasta di semola lunga
Spaghetti 4;1,09;0,76;1000 g;Pasta e Riso;Pasta di semola lunga
SPAGHETTI N°5;0,95;0,59;1000 g;Pasta e Riso;Pasta di semola lunga
